# prefix,country_code,region_code,city,postal
79.171.117.0/24,RU,RU-MOS,Moscow,109004
151.236.80.0/24,RU,RU-MOS,Moscow,109028
185.46.175.0/24,BY,BY-HM,Minsk,220002
185.161.79.0/24,KZ,KZ-71,Astana,010000
185.165.120.0/24,RU,RU-MOS,Moscow,109004
185.165.121.0/24,RU,RU-MOS,Moscow,109004
185.165.122.0/24,RU,RU-MOS,Moscow,109004
185.165.123.0/24,RU,RU-MOS,Moscow,109004
185.203.72.0/24,GB,GB-RDG,Reading,RG1 3AR
185.203.73.0/24,GB,GB-RDG,Reading,RG1 3AR
185.203.74.0/24,GB,GB-RDG,Reading,RG1 3AR
185.203.75.0/24,GB,GB-RDG,Reading,RG1 3AR
5.8.69.240/28,LU,LU-LU,Luxembourg,1246
